submissionID,studyCountry,studyCity,studyLon,studyLat,birthCountry,birthCity,birthLat,birthLon,transitCountry1,transitLat1,transitLon1,transitCountry2,transitLat2,transitLon2,transitCountry3,transitLat3,transitLon3,countryID,weight
SInt-FIERI-GG-080-ITA,Italy,Turin,45.1609,7.47211,Gambia,Lower River,13.4062,-15.7046,Senegal,-14.64932269,14.53477292,Guinea,-11.30884122,10.69285624,Cote d'Ivoire,-5.506350278,7.286524249,99,1
SInt-FIERI-GG-095-ITA,Italy,Turin,45.1609,7.47211,Cote d'Ivoire,Marahou̩,6.94728,-5.83201,Greece,23.29359968,38.30578202,,,,,,,99,1
SInt-FIERI-GG-071-ITA,Italy,Turin,45.1609,7.47211,Kenya,Nairobi,-1.29384,36.9039,,,,,,,,,,99,1
SInt-FIERI-GG-056-ITA,Italy,Turin,45.1609,7.47211,Nigeria,Nassarawa,8.50412,8.27694,Mali,-6.125955399,13.6067015,Libya,17.36281363,28.84775861,,,,99,1
SInt-FIERI-GG-048-ITA,Italy,Turin,45.1609,7.47211,Nigeria,Nassarawa,8.50412,8.27694,Libya,17.36281363,28.84775861,,,,,,,99,1
SInt-FIERI-GG-088-ITA,Italy,Turin,45.1609,7.47211,Sudan,North Darfur,16.4602,25.506,Libya,17.36281363,28.84775861,,,,,,,99,1
SInt-FIERI-GG-010-ITA,Italy,Turin,45.1609,7.47211,Guinea,Nz̩r̩kor̩,8.05075,-8.73838,Cote d'Ivoire,-5.506350278,7.286524249,Mali,-6.125955399,13.6067015,Algeria,2.895104767,30.67591097,99,1
SInt-FIERI-GG-053-ITA,Italy,Turin,45.1609,7.47211,Nigeria,Ogun,7.01845,3.29255,,,,,,,,,,99,1
SInt-FIERI-GG-091-ITA,Italy,Turin,45.1609,7.47211,Nigeria,Plateau,8.95327,9.60601,France,2.530972176,47.52936864,,,,,,,99,1
SInt-FIERI-GG-096-ITA,Italy,Turin,45.1609,7.47211,Cote d'Ivoire,Sud-Bandama,5.63293,-5.49467,Niger,7.936533064,15.71454308,Libya,17.36281363,28.84775861,,,,99,1
SInt-FIERI-GG-077-ITA,Italy,Turin,45.1609,7.47211,Senegal,Thi̬s,14.6931,-16.8671,,,,,,,,,,99,1
SInt-FIERI-GG-035-ITA,Italy,Turin,45.1609,7.47211,Mali,Timbuktu,19.9073,-3.295,Burkina Faso,-1.656006428,12.52788264,Niger,7.936533064,15.71454308,Algeria,2.895104767,30.67591097,99,1
SInt-FIERI-GG-001-ITA,Italy,Turin,45.1609,7.47211,Mali,Timbuktu,19.9073,-3.295,Libya,17.36281363,28.84775861,,,,,,,99,1
SInt-FIERI-GG-049-ITA,Italy,Turin,45.1609,7.47211,Gambia,Upper River,13.3797,-14.1857,Senegal,-14.64932269,14.53477292,Mali,-6.125955399,13.6067015,Niger,7.936533064,15.71454308,99,1
SInt-FIERI-GG-018-ITA,Italy,Turin,45.1609,7.47211,Ghana,Upper West,10.404,-2.14449,Nigeria,7.870615134,9.130848867,Niger,7.936533064,15.71454308,Libya,17.36281363,28.84775861,99,1
SInt-FIERI-FR-027-ITA,Italy,Udine,46.0839,13.1961,Cote d'Ivoire,Lagunes,5.4607,-4.42852,Niger,7.936533064,15.71454308,Algeria,2.895104767,30.67591097,Libya,17.36281363,28.84775861,99,1
SInt-FIERI-FR-034-ITA,Italy,Udine,46.0839,13.1961,Togo,Maritime,6.42521,1.24665,Ghana,-1.186962068,7.593676088,France,2.530972176,47.52936864,,,,99,1
SInt-FIERI-FR-032-ITA,Italy,Udine,46.0839,13.1961,Mali,S̩gou,13.5852,-5.51952,Algeria,2.895104767,30.67591097,Libya,17.36281363,28.84775861,,,,99,1
SInt-FIERI-FR-024-ITA,Italy,Udine,46.0839,13.1961,Burkina Faso,Sissili,11.1806,-2.10887,Niger,7.936533064,15.71454308,Libya,17.36281363,28.84775861,,,,99,1
SInt-FIERI-FR-080-ITA,Italy,Venezia,45.4591,12.1647,Mali,Bamako,12.643,-8.01917,Algeria,2.895104767,30.67591097,Libya,17.36281363,28.84775861,,,,99,1
SInt-FIERI-FR-051-ITA,Italy,Venezia,45.4591,12.1647,Nigeria,Delta,5.44265,5.88195,Libya,17.36281363,28.84775861,,,,,,,99,1
SInt-FIERI-FR-038-ITA,Italy,Venezia,45.4591,12.1647,Iran,Esfahan,32.9837,52.4195,,,,,,,,,,99,1
SInt-FIERI-FR-050-ITA,Italy,Venezia,45.4591,12.1647,Cameroon,Ouest,5.36694,10.5889,Nigeria,7.870615134,9.130848867,Niger,7.936533064,15.71454308,Algeria,2.895104767,30.67591097,99,1
SInt-FIERI-FR-087-ITA,Italy,Vicenza,45.712,11.4753,Mali,Gao,16.4482,1.2641,Algeria,2.895104767,30.67591097,Libya,17.36281363,28.84775861,,,,99,1
SInt-FIERI-FR-076-ITA,Italy,Vicenza,45.712,11.4753,Guinea,Kankan,10.1319,-9.12624,Niger,7.936533064,15.71454308,Libya,17.36281363,28.84775861,,,,99,1
SInt-FIERI-FR-055-ITA,Italy,Vicenza,45.712,11.4753,Niger,Maradi,14.1148,7.41198,Libya,17.36281363,28.84775861,,,,,,,99,1
SInt-FIERI-FR-059-ITA,Italy,Vicenza,45.712,11.4753,Senegal,Tambacounda,13.9278,-13.2878,Mali,-6.125955399,13.6067015,Burkina Faso,-1.656006428,12.52788264,Niger,7.936533064,15.71454308,99,1
SInt-FIERI-FR-060-ITA,Italy,Vicenza,45.712,11.4753,Senegal,Thi̬s,14.6931,-16.8671,Mali,-6.125955399,13.6067015,Niger,7.936533064,15.71454308,Libya,17.36281363,28.84775861,99,1
SInt-FIERI-FR-081-ITA,Italy,Vicenza,45.712,11.4753,Mali,Timbuktu,19.9073,-3.295,,,,Niger,7.936533064,15.71454308,Libya,17.36281363,28.84775861,99,1
