ID,Year,Group,Subgroup,Type,Subtype,Subsubtype,EventName,Country,ISO,Region,Continent,Location,Origin,AssociatedDis,AssociatedDis2,Declaration,AidContribution,DisMagValue,DisMagScale,Latitude,Longitude,LocalTime,RiverBasin,StartYear,StartMonth,StartDay,EndYear,EndMonth,EndDay,Deaths,Injuries,Affected,Homeless,TotalAffected,ReconstructionCosts,InsuredDamages,TotalDamages,GeoLocations
1991-0174-PHL,1991,Natural,Meteorological,Storm,Tropical cyclone,,Brendan,Philippines (the),PHL,South-Eastern Asia,Asia,Near Tuguegaro (Pinatubo region),,,,,,100,Kph,,,,,1991,7,22,1991,7,22,2,,,10000,10000,,,,
1991-0382-PHL,1991,Natural,Meteorological,Storm,Tropical cyclone,,Ruth (Trining),Philippines (the),PHL,South-Eastern Asia,Asia,Luzon Isl.,,,,Yes,,260,Kph,,,,,1991,10,27,1991,10,27,65,38,300000,16000,316038,,19900,90000,
1991-0517-PHL,1991,Natural,Meteorological,Storm,Tropical cyclone,,Zeke (Etang),Philippines (the),PHL,South-Eastern Asia,Asia,Catanduanes,,,,,,,,,,,,,,,,,,,,,,,,,,
1991-0521-PHL,1991,Natural,Meteorological,Storm,Tropical cyclone,,Amy,Philippines (the),PHL,South-Eastern Asia,Asia,Pampanga,,,,,,,,,,,,,,,,,,,,,,,,,,
1991-0525-PHL,1991,Natural,Meteorological,Storm,Tropical cyclone,,Caitlin,Philippines (the),PHL,South-Eastern Asia,Asia,Concepcion,,,,,,,,,,,,,,,,,,,,,,,,,,
1991-0081-PHL,1991,Technological,Technological,Transport accident,Road,,,Philippines (the),PHL,South-Eastern Asia,Asia,Pagbileo,,,,,,,,,,,,1991,4,8,1991,4,8,12,53,,,53,,,,
1991-0197-PHL,1991,Technological,Technological,Transport accident,Road,,,Philippines (the),PHL,South-Eastern Asia,Asia,,,,,,,,,,,,,1991,7,12,1991,7,12,14,8,,,8,,,,
1991-0325-PHL,1991,Technological,Technological,Transport accident,Water,,,Philippines (the),PHL,South-Eastern Asia,Asia,Cagayan de Oro,,,,,,,,,,,,,,,,,,,,,,,,,,
1991-0052-PHL,1991,Technological,Technological,Industrial accident,Fire,,Factory,Philippines (the),PHL,South-Eastern Asia,Asia,Manilla,,,,,,,m3,,,,,1991,3,14,1991,3,14,13,9,,,9,,,,
1991-0568-PHL,1991,Technological,Technological,Industrial accident,Fire,,Textile factory,Philippines (the),PHL,South-Eastern Asia,Asia,Manilla,,,,,,,m3,,,,,1991,2,28,1991,2,28,20,,,,,,,,
1991-0059-PNG,1991,Natural,Hydrological,Landslide,Landslide,,,Papua New Guinea,PNG,Melanesia,Oceania,Chimbu province,Heavy rains,,,No,,,,,,,,1991,2,24,1991,2,24,200,,,5000,5000,,,,
1991-0002-POL,1991,Technological,Technological,Transport accident,Water,,Helicopter,Poland,POL,Eastern Europe,Europe,Bieszczady Mountains (Southeast),,,,,,,,,,,,1991,1,10,1991,1,10,10,,,,,,,,
1991-0598-PRK,1991,Technological,Technological,Industrial accident,Explosion,,,Korea (the Democratic People's Republic of),PRK,Eastern Asia,Asia,Near Pyonggang,,,,,,,m3,,,,,1991,10,30,1991,10,30,110,,,,,,,,
1991-0723-PRT,1991,Natural,Climatological,Wildfire,Forest fire,,,Portugal,PRT,Southern Europe,Europe,,,,,No,,1824,Km2,,,,,1991,,,1991,,,,,,,,,,,
1991-0628-PRT,1991,Technological,Technological,Transport accident,Water,,"Chalutier ""Bolama""",Portugal,PRT,Southern Europe,Europe,Near Lisbon,,,,,,,,,,,,1991,12,4,1991,12,4,26,,,,,,,,
1991-0622-REU,1991,Technological,Technological,Transport accident,Water,,"Vraquier ""Melete""",R̩union,REU,Eastern Africa,Africa,Indian ocean,,,,,,,,,,,,1991,8,24,1991,8,24,25,,,,,,,,
1991-0624-REU,1991,Technological,Technological,Transport accident,Water,,,R̩union,REU,Eastern Africa,Africa,Indian Ocean,,,,,,,,,,,,1991,9,18,1991,9,18,20,,,,,,,,
1991-0399-ROU,1991,Natural,Geophysical,Earthquake,Ground movement,,,Romania,ROU,Eastern Europe,Europe,Vouteg (Timis province),,,,No,,6,Richter,45.5 N,21.3 E,,,1991,12,2,1991,12,2,,5,,4000,4005,,,,
1991-0117-SUN,1991,Natural,Geophysical,Earthquake,Ground movement,,,Soviet Union,SUN,Russian Federation,Europe,Kutaisi,,,,,,,,,,,,,,,,,,,,,,,,,,
1991-0485-USA,1991,Natural,Meteorological,Storm,Convective storm,Severe storm,,United States of America (the),USA,Northern America,Americas,Californie,,,,,,,,,,,,,,,,,,,,,,,,,,
1991-0484-USA,1991,Natural,Meteorological,Storm,Convective storm,Severe storm,,United States of America (the),USA,Northern America,Americas,Texas,,,,,,,,,,,,,,,,,,,,,,,,,,
1991-0486-USA,1991,Natural,Meteorological,Storm,Convective storm,Severe storm,,United States of America (the),USA,Northern America,Americas,Louisiane,,,,,,,,,,,,,,,,,,,,,,,,,,
1991-0307-SUN,1991,Natural,Meteorological,Storm,Convective storm,Tornado,,Soviet Union,SUN,Russian Federation,Europe,Sochi-Tuapse,,,,,,,,,,,,,,,,,,,,,,,,,,
