ID,Year,Group,Subgroup,Type,Subtype,Subsubtype,EventName,Country,ISO,Region,Continent,Location,Origin,AssociatedDis,AssociatedDis2,Declaration,AidContribution,DisMagValue,DisMagScale,Latitude,Longitude,LocalTime,RiverBasin,StartYear,StartMonth,StartDay,EndYear,EndMonth,EndDay,Deaths,Injuries,Affected,Homeless,TotalAffected,ReconstructionCosts,InsuredDamages,TotalDamages,GeoLocations
1991-0669-IDN,1991,Natural,Biological,Epidemic,Viral disease,,Dengue fever,Indonesia,IDN,South-Eastern Asia,Asia,Java,,,,,,,Vaccinated,,,,,1991,1,15,1991,1,15,41,,,,,,,,
1991-0119-IDN,1991,Technological,Technological,Transport accident,Air,,Fokker 27,Indonesia,IDN,South-Eastern Asia,Asia,Klabat mountain (North Sulawesi),,,,,,,,,,,,1991,5,10,1991,5,10,13,,,,,,,,
1991-0363-IDN,1991,Technological,Technological,Transport accident,Air,,Lockheed C-130,Indonesia,IDN,South-Eastern Asia,Asia,Jakarta,,,,,,,,,,,,1991,10,5,1991,10,5,133,,,,,,,,
1991-0181-IDN,1991,Technological,Technological,Transport accident,Road,,,Indonesia,IDN,South-Eastern Asia,Asia,Java,,,,,,,,,,,,1991,7,19,1991,7,19,10,27,,,27,,,,
1991-0150-IDN,1991,Technological,Technological,Transport accident,Water,,,Indonesia,IDN,South-Eastern Asia,Asia,Mahalayu Lake (Central Java),,,,,,,,,,,,1991,4,19,1991,4,19,63,,,,,,,,
1991-0593-IDN,1991,Technological,Technological,Miscellaneous accident,Fire,,,Indonesia,IDN,South-Eastern Asia,Asia,Irian jaya,,,,,,,,,,,,1991,9,18,1991,9,18,38,,,,,,,,
1991-0154-IDN,1991,Natural,Biological,Epidemic,,,,Indonesia,IDN,South-Eastern Asia,Asia,Aceh province (North Sumatra),,,,,,,,,,,,,,,,,,,,,,,,,,
1991-0189-IND,1991,Natural,Hydrological,Flood,Coastal flood,,,India,IND,Southern Asia,Asia,Assam,,,,,,,,,,,,,,,,,,,,,,,,,,
1991-0338-IND,1991,Natural,Hydrological,Flood,Coastal flood,,,India,IND,Southern Asia,Asia,Assam,,,,,,,,,,,,,,,,,,,,,,,,,,
1991-0278-IND,1991,Natural,Hydrological,Flood,Riverine flood,,,India,IND,Southern Asia,Asia,Bombay,,,,,,,,,,,,,,,,,,,,,,,,,,
1991-0509-IND,1991,Natural,Hydrological,Flood,Riverine flood,,,India,IND,Southern Asia,Asia,Kerala state,Monsoon rains,,,No,,,Km2,,,,,1991,6,1,1991,7,9,99,,,,,,,118000,
1991-0766-IND,1991,Natural,Hydrological,Flood,Riverine flood,,,India,IND,Southern Asia,Asia,West Bengal state,Monsoonal rain,,,No,,91960,Km2,,,,,1991,9,14,1991,9,15,84,,4000000,,4000000,,,40000,
