studyCountry,studyCity,studyLon,studyLat,birthCountry,countryID,contactCountry,contactCity,contactLon,contactLat,weight,total_at_cp,country_at_cp,isBoth,
Italy,Imperia,7.81935,44.011,Senegal,99,Senegal,,-14.4529612,14.4750607,2,13,13,0,
Italy,Milano,9.1154,45.442,Senegal,99,Senegal,,-14.4529612,14.4750607,5,13,13,0,
Italy,Turin,7.47211,45.1609,Senegal,99,Senegal,,-14.4529612,14.4750607,3,13,13,0,
Italy,Vicenza,11.4753,45.712,Senegal,99,Senegal,,-14.4529612,14.4750607,2,13,13,0,
Italy,Treviso,12.2313,45.8092,Somalia,99,Somalia,,49.083416,8.3676771,2,5,5,0,
Italy,Turin,7.47211,45.1609,Somalia,99,Somalia,,49.083416,8.3676771,3,5,5,0,
Ethiopia,Addis Ababa,38.7815,8.966,Eritrea,3,South Africa,,24.991639,-28.8166236,1,2,2,0,
Italy,Roma,12.7308,41.965,Eritrea,3,South Africa,,24.991639,-28.8166236,1,2,2,0,
Italy,Imperia,7.81935,44.011,Mali,99,Spain,,-3.523344922,39.56495146,1,3,3,0,
Italy,Milano,9.1154,45.442,Senegal,99,Spain,,-3.523344922,39.56495146,1,3,3,0,
Italy,Turin,7.47211,45.1609,Gambia,99,Spain,,-3.523344922,39.56495146,1,3,3,0,
Italy,Treviso,12.2313,45.8092,Sudan,99,Sudan,,31.1178617,16.39440993,1,1,1,0,
Ethiopia,Addis Ababa,38.7815,8.966,Eritrea,3,Sweden,,14.5208584,59.6749712,5,30,16,0,
Ethiopia,Addis Ababa,38.7815,8.966,Ethiopia,99,Sweden,,14.5208584,59.6749712,1,30,6,0,
Ethiopia,Afar,41.0236,12.1232,Eritrea,3,Sweden,,14.5208584,59.6749712,1,30,16,0,
Jordan,Ajlun,35.761,32.2932,Syria,4,Sweden,,14.5208584,59.6749712,1,30,7,0,
Greece,Athens Area,23.7997,38.0626,Afghanistan,1,Sweden,,14.5208584,59.6749712,1,30,1,0,
Greece,Athens Area,23.7997,38.0626,Syria,4,Sweden,,14.5208584,59.6749712,4,30,7,0,
Jordan,Mafraq,37.6195,32.2481,Syria,4,Sweden,,14.5208584,59.6749712,2,30,7,0,
Italy,Roma,12.7308,41.965,Eritrea,3,Sweden,,14.5208584,59.6749712,10,30,16,0,
Italy,Roma,12.7308,41.965,Iran,99,Sweden,,14.5208584,59.6749712,2,30,6,0,
