studyCountry,studyCity,studyLon,studyLat,birthCountry,countryID,contactCountry,contactCity,contactLon,contactLat,weight,total_at_cp,country_at_cp,isBoth,
Italy,Roma,12.7308,41.965,Eritrea,3,Sweden,Stockholm,17.8652,59.3659,8,19,13,0,
Ethiopia,Tigray,38.2158,14.1003,Eritrea,3,Sweden,Stockholm,17.8652,59.3659,1,19,13,0,
DR Congo,Sud-Kivu,28.1159,-3.10474,DR Congo,2,DR Congo,Sud-Kivu,28.1159,-3.10474,181,181,1,1,
Italy,Roma,12.7308,41.965,Eritrea,3,Denmark,Syddanmark,9.1292,55.349,1,1,1,0,
Jordan,Mafraq,37.6195,32.2481,Syria,4,Jordan,Tafilah,35.6436,30.7879,1,1,1,0,
Greece,Athens Area,23.7997,38.0626,Afghanistan,1,Iran,Tehran,51.6548,35.5146,13,21,21,0,
Pakistan,Sind,68.8685,26.3734,Afghanistan,1,Iran,Tehran,51.6548,35.5146,4,21,21,0,
Greece,Voreio Aigaio,25.2262,39.9531,Afghanistan,1,Iran,Tehran,51.6548,35.5146,4,21,21,0,
Ethiopia,Addis Ababa,38.7815,8.966,Eritrea,3,Israel,Tel Aviv,34.8091,32.0966,6,12,12,0,
Italy,Roma,12.7308,41.965,Eritrea,3,Israel,Tel Aviv,34.8091,32.0966,3,12,12,0,
Ethiopia,Tigray,38.2158,14.1003,Eritrea,3,Israel,Tel Aviv,34.8091,32.0966,3,12,12,0,
Italy,Vicenza,11.4753,45.712,Senegal,99,Italy,Terni,12.4862,42.5788,1,1,1,0,
Ethiopia,Addis Ababa,38.7815,8.966,Eritrea,3,USA,Texas,-98.7607,31.131,2,4,2,0,
DR Congo,Sud-Kivu,28.1159,-3.10474,DR Congo,2,USA,Texas,-98.7607,31.131,2,4,2,0,
Italy,Catania,14.969,37.5882,Eritrea,3,Switzerland,Ticino,8.79019,46.3604,1,2,2,0,
Italy,Roma,12.7308,41.965,Eritrea,3,Switzerland,Ticino,8.79019,46.3604,1,2,2,0,
Italy,Roma,12.7308,41.965,Eritrea,3,Ethiopia,Tigray,38.2158,14.1003,2,3,3,1,
Ethiopia,Tigray,38.2158,14.1003,Eritrea,3,Ethiopia,Tigray,38.2158,14.1003,1,3,3,1,
Italy,Turin,7.47211,45.1609,Mali,99,Mali,Timbuktu,-3.295,19.9073,4,4,1,0,
Italy,Roma,12.7308,41.965,Eritrea,3,Italy,Udine,13.1961,46.0839,1,2,1,1,
Italy,Udine,13.1961,46.0839,Afghanistan,1,Italy,Udine,13.1961,46.0839,1,2,1,1,
Italy,Roma,12.7308,41.965,Eritrea,3,Sweden,Uppsala,17.7896,60.1522,1,1,1,0,
Greece,Athens Area,23.7997,38.0626,Afghanistan,1,Afghanistan,Uruzgan,66.3011,33.8446,2,4,2,0,
