x1,y1,z1,x2,y2,z2
15,10,39,2,7,19
33,13,28,26,46,16
40,19,25,20,15,23
10,12,16,10,14,16
20,24,24,46,13,16
7,5,27,11,34,33
38,24,31,39,16,21
29,14,30,7,14,26
25,12,29,35,13,38
26,26,28,12,5,17
29,5,36,6,10,35
10,20,26,10,20,31
33,10,23,16,20,27
9,12,30,4,5,46
39,16,32,34,37,23
29,12,22,25,22,50
14,10,22,36,26,28
16,29,26,36,20,16
31,12,23,15,24,18
14,14,24,6,5,22
21,21,30,30,5,26
6,15,36,12,15,28
7,15,28,15,15,24
5,15,34,45,20,23
4,15,26,39,35,36
6,15,35,11,37,32
25,30,30,28,20,26
7,21,31,9,17,38
4,6,32,31,26,39
6,5,36,14,32,40
31,15,31,18,17,28
5,10,32,16,15,21
24,15,24,22,19,22
28,11,22,36,19,28
41,14,32,41,26,18
19,15,34,13,19,20
34,12,28,13,17,16
41,14,25,37,15,14
11,29,26,40,38,22
30,11,24,28,30,23
12,5,34,23,11,34
43,13,16,4,15,39
31,5,32,13,31,30
14,14,22,30,31,34
28,12,34,11,12,36
52,20,20,22,10,22
25,13,21,16,13,24
26,13,23,32,10,27
23,11,24,31,5,19
14,16,46,37,5,29
25,6,24,9,10,35
49,38,42,11,15,28
45,16,20,30,26,24
47,15,24,12,5,23
43,15,30,33,13,20
24,13,18,45,17,19
23,37,10,32,12,19
26,36,30,43,11,31
42,26,22,30,23,36
36,13,26,31,6,34
41,15,24,32,10,40
44,15,24,12,16,18
18,25,27,39,15,34
42,26,23,33,27,35
41,21,27,40,16,31
32,32,26,33,43,26
42,23,20,46,45,31
47,11,10,55,13,31
22,6,41,42,35,15
35,16,30,32,32,18
15,33,12,31,23,35
29,26,28,41,44,27
38,6,24,47,25,12
27,16,22,37,21,16
23,16,30,35,21,24
34,37,32,34,16,45
36,16,34,35,43,39
34,31,31,39,21,26
7,31,26,37,36,18
31,21,29,35,49,22
4,6,24,39,16,10
30,6,20,17,36,20
46,6,22,26,32,20
46,25,16,44,15,12
34,11,19,50,16,22
24,31,31,41,12,18
47,36,16,38,31,15
37,16,8,39,36,20
29,26,33,23,6,24
17,25,29,31,21,16
38,26,24,41,28,18
43,36,17,14,13,20
24,16,12,37,15,10
43,6,18,31,19,27
32,13,26,48,36,14
37,16,16,33,26,23
19,33,22,46,11,16
26,31,23,41,11,30
32,5,18,42,30,48
23,16,12,46,9,44
38,26,12,55,28,36
28,32,24,41,33,27
28,8,34,40,26,42
42,7,31,31,24,61
40,15,32,9,27,27
45,22,32,34,22,37
39,27,31,36,22,35
33,28,39,42,21,40
16,22,26,51,18,37
37,30,31,46,28,53
41,22,25,48,21,33
53,33,25,41,25,27
48,21,34,44,25,27
33,13,21,30,27,35
49,20,33,43,37,20
9,9,48,48,14,21
21,26,34,50,28,31
12,5,41,41,10,31
16,25,26,45,29,26
11,25,26,16,36,34
8,5,31,37,17,27
16,25,26,48,29,44
15,25,26,34,32,37
10,5,30,34,31,37
13,25,20,13,33,30
16,5,26,35,28,41
14,25,26,23,25,39
14,5,18,35,29,34
16,25,20,37,32,25
13,25,20,39,23,48
15,5,26,37,28,37
16,25,20,11,27,37
17,25,31,38,35,27
28,10,27,43,26,34
5,10,25,35,16,41
29,10,32,16,29,35
7,5,24,29,22,27
7,9,31,47,27,51
7,15,33,28,24,37
12,14,27,22,19,45
12,9,34,46,29,35
7,5,48,38,18,38
8,9,28,53,40,22
16,11,27,46,25,33
10,10,24,34,15,34
7,5,32,25,31,47
10,10,36,47,10,25
11,12,31,48,24,31
13,14,45,28,31,40
3,10,20,52,30,32
11,20,33,24,22,33
11,14,36,43,32,27
4,18,23,41,22,45
11,12,29,46,29,36
4,20,34,32,11,38
20,14,32,31,24,49
36,12,33,31,25,39
46,14,31,42,27,34
5,16,35,25,21,37
2,21,22,46,24,29
13,12,30,31,10,30
10,5,30,40,27,34
5,10,27,38,24,57
7,10,27,44,30,45
11,5,32,42,32,30
5,10,23,13,26,60
7,10,31,44,23,47
11,5,20,40,38,56
7,10,24,34,26,60
10,10,31,47,32,42
7,10,32,45,29,41
8,10,32,41,27,43
25,14,35,20,23,31
10,10,28,41,20,45
31,21,47,15,23,45
32,10,51,30,29,33
28,15,51,34,22,38
31,15,47,37,31,64
34,15,51,17,25,30
33,19,46,14,25,26
36,20,47,12,25,24
19,25,51,14,5,20
14,24,45,16,25,24
9,27,52,21,25,25
27,10,51,22,25,25
32,20,51,22,25,25
9,17,56,22,25,25
12,10,52,38,25,25
10,15,51,19,31,51
31,15,51,21,25,35
37,15,47,15,10,35
35,10,39,21,16,24
37,15,51,7,14,30
28,20,45,7,16,26
27,15,51,7,10,30
34,15,49,9,13,22
46,9,14,9,10,33
32,26,18,13,5,32
13,9,29,11,16,39
9,5,31,11,14,25
11,5,20,11,19,35
