submission;studyCountry;originCountry;siteType;IDPCamp;gender;age;maritalStatus;education;protectionStatus;Connectivity;Mobility;Marginalisation
SInt-AAU-Sgt-032-ET;231;232;1;0;2;2;1;1;2;36;26;42
SInt-AAU-Sgt-033-ET;231;232;1;0;2;1;1;1;2;38;17;39
SInt-AAU-Sgt-034-ET;231;232;1;0;2;3;2;2;2;37;26;41
SInt-AAU-Sgt-035-ET;231;232;1;0;1;3;2;3;2;9;22;44
SInt-AAU-Sgt-036-ET;231;232;1;0;2;2;2;3;2;45;31;29
SInt-AAU-Sgt-037-ET;231;999;1;0;2;2;1;2;2;41;31;29
SInt-AAU-Sgt-038-ET;231;232;1;0;1;2;1;2;2;42;26;41
SInt-AAU-Sgt-039-ET;231;232;1;0;2;2;2;1;2;50;20;39
SInt-AAU-Sgt-040-ET;231;232;1;0;1;1;1;1;2;48;15;35
SInt-AAU-Sgt-041-ET;231;232;1;0;2;2;2;3;2;30;26;32
SInt-AAU-Sgt-042-ET;231;232;1;0;1;3;2;2;2;10;23;47
SInt-AAU-Tes-001-ET;231;232;3;1;1;3;1;3;2;33;20;37
SInt-AAU-Tes-002-ET;231;232;3;1;2;3;2;0;2;14;16;37
SInt-AAU-Tes-003-ET;231;999;3;0;2;2;1;1;#NULL!;4;11;57
SInt-AAU-Tes-004-ET;231;232;3;1;1;3;2;0;#NULL!;6;16;44
SInt-AAU-Tes-005-ET;231;232;3;1;1;4;2;1;#NULL!;7;20;28
SInt-AAU-Tes-006-ET;231;232;3;1;1;3;1;3;2;6;16;63
SInt-AAU-Tes-007-ET;231;232;3;1;1;3;1;1;#NULL!;5;16;47
SInt-AAU-Tes-008-ET;231;232;3;1;2;2;2;2;#NULL!;4;26;40
SInt-AAU-Tes-009-ET;231;232;3;1;1;2;2;1;#NULL!;3;16;53
SInt-AAU-Tes-010-ET;231;232;3;1;2;2;1;2;#NULL!;27;26;47
SInt-AAU-Tes-011-ET;231;232;3;1;1;4;2;1;#NULL!;15;26;32
SInt-AAU-Tes-012-ET;231;232;3;1;2;2;4;2;#NULL!;4;21;38
SInt-AAU-Tes-013-ET;231;232;3;1;1;1;1;1;#NULL!;7;16;26
SInt-AAU-Tes-014-ET;231;232;3;1;1;3;2;1;#NULL!;3;23;46
SInt-AAU-Tes-015-ET;231;232;3;1;1;2;2;2;#NULL!;7;16;48
SInt-AAU-Tes-016-ET;231;232;3;1;2;2;1;2;#NULL!;5;16;36
SInt-AAU-Tes-017-ET;231;232;3;1;1;3;1;2;#NULL!;1;21;43
SInt-AAU-Tes-018-ET;231;232;3;1;2;2;2;0;#NULL!;1;21;47
SInt-AAU-Tes-019-ET;231;232;3;1;2;3;2;0;#NULL!;3;16;29
SInt-AAU-Tes-021-ET;231;232;3;1;1;4;2;1;#NULL!;5;16;61
SInt-AAU-Tes-021-ET;231;232;3;1;1;4;2;1;#NULL!;1;16;45
SInt-AAU-Tes-022-ET;231;232;3;1;1;5;2;1;#NULL!;5;16;49
SInt-AAU-Tes-024-ET;231;232;3;1;1;4;2;1;#NULL!;19;16;41
SInt-AAU-Tes-024-ET;231;232;3;1;1;1;1;1;#NULL!;6;16;44
SInt-AAU-Tes-025-ET;231;232;3;1;1;5;1;2;#NULL!;3;21;55
SInt-AAU-Tes-026-ET;231;232;3;1;2;1;1;1;#NULL!;1;26;33
SInt-AAU-Tes-027-ET;231;232;3;1;1;3;2;3;#NULL!;8;16;39
SInt-AAU-Tes-028-ET;231;232;3;1;2;2;1;2;#NULL!;6;21;45
SInt-AAU-Tes-029-ET;231;232;3;1;1;1;1;1;#NULL!;11;16;38
SInt-AAU-Tes-030-ET;231;232;3;1;2;1;1;1;#NULL!;18;21;46
SInt-AAU-Tes-031-ET;231;232;3;1;2;3;2;0;#NULL!;25;16;37
SInt-AAU-Tes-032-ET;231;232;3;1;2;2;2;0;#NULL!;5;16;35
SInt-AAU-Tes-033-ET;231;232;3;1;1;3;1;1;#NULL!;4;18;40
SInt-AAU-XX-001-ETH;231;232;1;0;2;3;2;1;1;31;22;19
SInt-AAU-XX-008-ETH;231;232;1;1;2;1;1;0;#NULL!;7;25;32
SInt-AAU-Ytk-001-ET;231;232;1;0;1;4;2;2;2;46;21;27
SInt-AAU-Ytk-002-ET;231;232;1;0;1;3;1;2;98;22;19;47
SInt-AAU-Ytk-003-ET;231;232;1;0;1;3;2;2;2;29;17;47
SInt-AAU-Ytk-004-ET;231;232;1;0;2;2;1;3;2;29;20;56
SInt-AAU-Ytk-005-ET;231;232;1;0;2;2;2;3;2;38;20;41
SInt-AAU-Ytk-006-ET;231;999;1;0;1;6;2;3;2;32;13;62
SInt-AAU-Ytk-007-ET;231;999;1;0;1;4;1;3;2;33;20;69
SInt-AAU-Ytk-008-ET;231;999;1;0;1;3;1;1;1;25;19;49
SInt-AAU-Ytk-009-ET;231;232;1;0;1;2;1;2;98;37;21;47
SInt-AAU-Ytk-010-ET;231;232;1;0;1;4;1;3;98;38;24;41
SInt-AAU-Ytk-011-ET;231;232;1;0;2;3;5;2;1;27;24;43
SInt-AAU-Ytk-012-ET;231;232;1;0;1;3;1;3;98;28;19;44
SInt-AAU-Ytk-013-ET;231;232;1;0;1;3;1;2;98;32;14;41
SInt-AAU-Ytk-014-ET;231;232;1;0;2;4;4;0;1;27;24;49
SInt-AAU-Ytk-015-ET;231;232;1;0;1;3;1;3;2;37;15;64
SInt-AAU-Ytk-016-ET;231;232;1;0;1;2;1;1;98;35;23;47
SInt-AAU-Ytk-017-ET;231;232;1;0;2;4;2;2;98;35;19;43
SInt-AAU-Ytk-018-ET;231;232;1;0;2;2;1;1;#NULL!;30;29;55
SInt-AAU-Ytk-019-ET;231;232;1;0;2;3;1;1;98;40;18;47
SInt-AAU-Ytk-020-ET;231;232;1;0;1;2;1;1;98;30;19;47
SInt-AAU-Ytk-021-ET;231;232;1;0;2;2;1;1;98;31;17;54
SInt-AAU-Ytk-022-ET;231;232;1;0;2;2;1;1;2;34;17;57
SInt-AAU-Ytk-023-ET;231;232;1;0;1;5;2;3;2;48;14;55
SInt-AAU-Ytk-024-ET;231;232;1;0;1;4;2;2;2;27;15;54
SInt-AAU-Ytk-025-ET;231;232;1;0;1;6;2;1;1;34;18;33
SInt-AAU-Ytk-026-ET;231;232;1;0;1;3;1;1;4;22;19;62
SInt-AAU-Ytk-027-ET;231;999;1;0;2;3;1;1;98;31;19;47
SInt-AAU-Ytk-028-ET;231;232;1;0;2;2;2;0;#NULL!;23;19;39
SInt-AAU-Ytk-029-ET;231;232;1;0;1;3;2;1;4;26;19;47
SInt-AAU-Ytk-030-ET;231;232;1;0;1;3;1;1;98;31;19;47
SInt-AAU-Ytk-031-ET;231;232;1;0;1;3;2;3;2;29;19;47
SInt-AAU-Ytk-032-ET;231;232;1;0;1;2;1;1;98;34;15;54
SInt-AAU-Ytk-033-ET;231;232;1;0;1;3;2;3;4;27;14;61
SInt-AAU-Ytk-034-ET;231;232;1;0;1;4;2;1;98;25;17;43
SInt-AAU-Ytk-035-ET;231;232;1;0;1;2;1;1;98;38;18;50
SInt-AAU-Ytk-036-ET;231;232;1;0;2;3;1;1;1;33;18;47
SInt-AAU-Ytk-037-ET;231;232;1;0;1;3;1;2;2;37;13;33
SInt-AAU-Ytk-038-ET;231;232;1;0;1;5;2;1;2;27;14;54
SInt-AAU-Ytk-039-ET;231;232;1;0;2;2;1;1;2;27;19;50
SInt-AAU-Ytk-040-ET;231;232;1;0;1;3;1;1;2;28;19;55
SInt-AUTH-MI-301-GRC;300;586;1;0;1;3;1;0;#NULL!;3;7;42
SInt-AUTH-MI-301-GRC;300;586;1;0;1;3;2;0;4;48;18;27
SInt-AUTH-MI-301-GRC;300;586;1;1;1;1;1;1;1;42;26;28
SInt-AUTH-MI-301-GRC;300;586;1;0;1;2;1;1;1;47;9;32
SInt-AUTH-MI-301-GRC;300;586;1;0;2;3;4;1;2;43;18;26
SInt-AUTH-MI-301-GRC;300;586;1;0;2;3;4;1;2;48;17;43
SInt-AUTH-MI-301-GRC;300;586;1;0;1;1;1;1;1;36;24;44
SInt-AUTH-MI-301-GRC;300;586;1;0;1;2;1;1;4;61;16;28
SInt-AUTH-MI-301-GRC;300;586;1;0;1;2;1;1;1;42;11;23
SInt-AUTH-MI-301-GRC;300;586;1;0;1;3;1;1;3;48;32;25
SInt-AUTH-MI-301-GRC;300;586;1;0;2;4;4;1;2;22;17;32
SInt-AUTH-MI-301-GRC;300;586;1;0;1;2;1;1;#NULL!;54;18;53
SInt-AUTH-MI-301-GRC;300;586;1;0;1;2;1;1;98;39;16;44
SInt-AUTH-MI-301-GRC;300;586;1;1;1;1;1;1;1;34;25;24
SInt-AUTH-MI-301-GRC;300;586;1;0;1;2;3;1;1;44;17;33
SInt-AUTH-MI-301-GRC;300;586;1;0;1;2;1;1;1;50;16;25
SInt-AUTH-MI-301-GRC;300;586;1;0;1;3;2;1;4;54;17;34
SInt-AUTH-MI-301-GRC;300;586;1;0;1;2;1;1;1;39;16;27
SInt-AUTH-MI-301-GRC;300;586;1;0;1;2;2;1;1;57;21;28
SInt-AUTH-MI-301-GRC;300;586;1;0;1;3;2;1;4;55;22;28
SInt-AUTH-MI-301-GRC;300;586;1;0;1;2;1;1;1;56;22;35
SInt-AUTH-MI-301-GRC;300;586;1;0;1;2;2;1;1;54;16;28
SInt-AUTH-MI-301-GRC;300;586;1;0;1;2;1;1;1;49;17;28
SInt-AUTH-MI-301-GRC;300;586;1;0;1;2;1;1;4;45;27;35
SInt-AUTH-MI-301-GRC;300;586;1;0;1;3;2;1;4;58;26;28
SInt-AUTH-MI-301-GRC;300;586;1;0;1;1;1;1;1;39;26;48
SInt-AUTH-MI-301-GRC;300;586;1;0;1;1;1;1;98;56;20;62
SInt-AUTH-MI-301-GRC;300;586;1;0;1;2;1;1;98;51;21;62
SInt-AUTH-MI-301-GRC;300;586;1;0;1;2;1;1;#NULL!;50;23;42
SInt-AUTH-MI-301-GRC;300;586;1;0;1;2;1;1;#NULL!;41;21;49
SInt-AUTH-MI-301-GRC;300;586;1;0;1;2;1;1;#NULL!;44;16;53
SInt-AUTH-MI-301-GRC;300;586;1;0;1;2;1;1;#NULL!;43;19;63
SInt-AUTH-MI-301-GRC;300;586;1;0;3;2;1;2;1;38;17;29
SInt-AUTH-MI-301-GRC;300;586;1;0;1;2;1;2;1;62;21;30
SInt-AUTH-MI-301-GRC;300;586;1;0;1;4;2;2;4;37;23;29
SInt-AUTH-MI-301-GRC;300;586;1;0;1;2;1;2;1;43;16;24
SInt-AUTH-MI-301-GRC;300;586;1;0;1;2;1;2;1;11;20;24
SInt-AUTH-MI-301-GRC;300;586;1;0;1;3;2;2;4;52;16;27
SInt-AUTH-MI-301-GRC;300;586;1;0;1;2;1;2;1;59;16;32
SInt-AUTH-MI-301-GRC;300;586;1;0;1;2;1;2;1;54;21;29
SInt-AUTH-MI-301-GRC;300;586;1;0;1;2;1;2;4;45;24;37
SInt-AUTH-MI-301-GRC;300;586;1;0;1;3;2;2;4;52;17;29
SInt-AUTH-MI-301-GRC;300;586;1;0;1;3;1;2;4;51;18;30
SInt-AUTH-MI-301-GRC;300;586;1;0;1;2;1;2;98;36;21;46
SInt-AUTH-MI-301-GRC;300;586;1;0;2;2;1;2;2;38;24;30
SInt-AUTH-MI-301-GRC;300;586;1;0;1;2;1;2;4;33;18;48
SInt-AUTH-MI-301-GRC;300;586;1;0;2;4;2;3;1;48;16;26
SInt-AUTH-MI-301-GRC;300;586;1;0;1;2;1;3;1;59;17;31
SInt-AUTH-MI-301-GRC;300;586;1;0;1;2;1;3;1;37;16;29
SInt-AUTH-MI-301-GRC;300;586;1;0;1;2;1;3;1;53;16;32
SInt-AUTH-MM-208-GRC;300;4;2;0;2;2;2;1;2;41;23;32
SInt-AUTH-MN-001-GRC;300;760;1;1;1;3;2;1;2;29;25;41
SInt-AUTH-MN-002-GRC;300;760;1;1;1;3;2;1;2;33;25;32
SInt-AUTH-MN-003-GRC;300;760;1;1;1;3;2;1;2;28;20;35
SInt-AUTH-MN-004-GRC;300;760;1;1;1;3;2;1;2;27;27;41
SInt-AUTH-MN-005-GRC;300;760;1;1;2;2;2;0;2;37;27;43
SInt-AUTH-MN-006-GRC;300;760;1;1;2;2;2;0;2;29;27;42
SInt-AUTH-MN-006-GRC;300;760;1;1;1;3;2;0;2;13;26;41
SInt-AUTH-MN-008-GRC;300;760;1;1;1;3;2;0;2;33;25;41
SInt-AUTH-MN-009-GRC;300;760;1;1;1;4;2;0;1;40;25;46
SInt-AUTH-MN-010-GRC;300;760;1;1;1;2;1;1;2;31;26;40
SInt-AUTH-MN-011-GRC;300;760;1;1;1;3;1;0;2;41;27;41
SInt-AUTH-MN-012-GRC;300;760;1;1;1;2;1;0;1;25;27;59
SInt-AUTH-MN-013-GRC;300;760;1;1;1;3;2;0;2;18;25;41
SInt-AUTH-MN-014-GRC;300;760;1;1;1;2;1;0;1;28;25;42
SInt-AUTH-MN-015-GRC;300;760;1;1;1;2;1;0;2;28;25;42
SInt-AUTH-MN-016-GRC;300;760;1;1;1;2;2;0;1;14;20;42
SInt-AUTH-MN-017-GRC;300;760;1;1;1;2;2;0;1;12;25;42
SInt-AUTH-MN-018-GRC;300;760;1;1;1;2;2;0;2;32;27;41
SInt-AUTH-MN-019-GRC;300;760;1;1;1;2;1;0;1;13;23;41
SInt-AUTH-MN-020-GRC;300;760;1;1;1;3;2;0;1;14;25;44
SInt-AUTH-MN-021-GRC;300;760;1;1;1;4;2;0;1;15;23;40
SInt-AUTH-MN-022-GRC;300;760;1;1;2;2;2;0;2;34;25;38
SInt-AUTH-MN-023-GRC;300;760;1;1;1;3;2;0;2;34;29;38
SInt-AUTH-MN-024-GRC;300;760;1;1;2;5;2;1;2;44;29;44
SInt-AUTH-MN-025-GRC;300;760;1;1;1;5;2;0;1;14;25;45
SInt-AUTH-MN-026-GRC;300;760;1;1;1;2;2;0;2;17;20;36
SInt-AUTH-MN-027-GRC;300;760;1;1;1;2;1;0;1;31;27;47
SInt-AUTH-MN-028-GRC;300;760;1;1;1;2;1;1;2;14;6;26
SInt-AUTH-MN-029-GRC;300;760;1;0;1;2;1;2;2;15;6;26
SInt-AUTH-MN-030-GRC;300;760;1;0;1;3;1;1;2;10;28;26
SInt-AUTH-MN-031-GRC;300;760;1;1;1;3;2;1;1;40;27;48
SInt-AUTH-MN-032-GRC;300;760;1;1;2;2;2;0;1;13;25;44
SInt-AUTH-MN-033-GRC;300;760;1;1;2;2;2;1;#NULL!;30;25;46
SInt-AUTH-MN-034-GRC;300;760;1;1;1;3;2;0;1;15;25;40
SInt-AUTH-MN-035-GRC;300;760;1;1;1;2;2;0;2;33;20;44
SInt-AUTH-MN-036-GRC;300;760;1;1;1;3;2;1;2;42;20;38
SInt-AUTH-MN-037-GRC;300;760;1;1;2;3;2;1;2;33;20;38
SInt-AUTH-MN-038-GRC;300;760;1;1;1;3;2;0;2;30;20;43
SInt-AUTH-MN-039-GRC;300;760;1;1;2;2;1;0;1;11;20;45
SInt-AUTH-MN-040-GRC;300;760;1;1;2;5;2;0;1;12;20;44
SInt-AUTH-MN-041-GRC;300;760;1;1;1;2;1;0;1;12;20;44
SInt-AUTH-MN-042-GRC;300;760;1;1;1;3;2;0;1;13;20;41
SInt-AUTH-MN-043-GRC;300;760;1;1;1;5;2;0;1;14;20;39
SInt-AUTH-MN-044-GRC;300;760;1;1;1;2;2;0;2;33;20;46
SInt-AUTH-MN-045-GRC;300;760;1;0;1;3;2;1;2;13;20;33
SInt-AUTH-MN-046-GRC;300;760;1;0;1;5;2;1;2;37;20;39
SInt-AUTH-MN-047-GRC;300;760;1;0;1;3;2;1;2;15;25;36
SInt-AUTH-MN-048-GRC;300;760;1;0;1;3;2;1;2;32;20;31
SInt-AUTH-MN-049-GRC;300;760;1;1;1;3;2;0;1;13;25;44
SInt-AUTH-MN-050-GRC;300;760;1;1;1;2;1;0;1;13;25;45
SInt-AUTH-MN-051-GRC;300;760;1;1;1;3;2;0;2;13;20;44
SInt-AUTH-MN-052-GRC;300;760;1;1;2;2;2;1;#NULL!;37;25;46
SInt-AUTH-MN-053-GRC;300;760;1;1;1;3;2;0;2;13;20;44
SInt-AUTH-MN-054-GRC;300;760;1;1;1;2;1;1;2;33;22;43
SInt-AUTH-MN-055-GRC;300;760;1;1;1;3;2;1;2;18;24;41
SInt-AUTH-MN-056-GRC;300;760;1;1;1;3;2;1;1;13;20;44
SInt-AUTH-MN-057-GRC;300;760;1;1;1;3;2;1;1;34;20;44
SInt-AUTH-MN-058-GRC;300;760;1;1;1;5;2;0;#NULL!;34;25;44
SInt-AUTH-MN-059-GRC;300;760;1;1;1;3;2;0;#NULL!;12;25;56
SInt-AUTH-MN-060-GRC;300;760;1;1;1;3;2;0;2;13;27;44
SInt-AUTH-MN-061-GRC;300;760;1;1;2;3;2;1;2;28;25;38
SInt-AUTH-MN-062-GRC;300;760;1;1;1;5;2;0;2;43;20;44
SInt-AUTH-MN-063-GRC;300;760;1;1;1;2;2;1;2;44;20;44
SInt-AUTH-MN-064-GRC;300;760;1;1;1;3;2;0;1;13;20;44
SInt-AUTH-MN-065-GRC;300;760;1;1;1;3;1;0;2;29;20;44
SInt-AUTH-MN-066-GRC;300;760;1;1;1;2;1;0;1;13;25;46
SInt-AUTH-MN-067-GRC;300;760;1;1;1;3;2;1;2;15;25;43
SInt-AUTH-MN-068-GRC;300;760;1;1;1;2;2;1;2;13;20;43
SInt-AUTH-MN-069-GRC;300;760;1;0;1;3;2;1;2;30;20;35
SInt-AUTH-MN-070-GRC;300;760;1;0;1;2;2;1;2;16;22;29
SInt-AUTH-MN-071-GRC;300;760;1;0;1;3;2;0;2;38;20;39
SInt-AUTH-MN-072-GRC;300;760;1;0;1;3;1;1;2;14;22;39
SInt-AUTH-MN-073-GRC;300;760;1;1;1;3;2;0;2;32;20;44
SInt-AUTH-MN-074-GRC;300;760;1;1;1;5;2;0;2;51;25;43
SInt-AUTH-MN-075-GRC;300;760;1;1;1;2;2;0;2;14;22;45
SInt-AUTH-MN-076-GRC;300;760;1;1;1;3;2;1;2;15;20;38
SInt-AUTH-MN-077-GRC;300;760;1;1;2;2;2;1;#NULL!;36;25;45
SInt-AUTH-MN-078-GRC;300;760;1;0;1;3;2;1;2;14;20;36
SInt-AUTH-MN-079-GRC;300;760;1;0;1;2;1;1;2;37;20;36
SInt-AUTH-MN-080-GRC;300;760;1;1;1;2;2;0;1;15;25;41
SInt-AUTH-MN-081-GRC;300;760;1;1;1;3;2;1;2;34;22;37
SInt-AUTH-MN-082-GRC;300;760;1;1;1;2;1;0;1;13;20;45
SInt-AUTH-MN-083-GRC;300;760;1;1;1;2;2;1;1;28;18;44
SInt-AUTH-MN-084-GRC;300;760;1;1;1;3;2;1;1;14;20;40
SInt-AUTH-MN-085-GRC;300;760;1;1;2;5;2;1;1;33;27;44
SInt-AUTH-MN-086-GRC;300;760;1;1;1;2;1;0;2;13;20;44
SInt-AUTH-MN-087-GRC;300;760;1;1;1;3;2;1;2;29;20;44
SInt-AUTH-MN-088-GRC;300;760;1;1;1;3;2;0;1;13;24;44
SInt-AUTH-MN-089-GRC;300;760;1;1;1;2;2;1;2;34;18;45
SInt-AUTH-MN-090-GRC;300;760;1;1;2;2;2;0;1;42;25;44
SInt-AUTH-MN-091-GRC;300;760;1;1;2;2;2;1;1;36;25;46
SInt-AUTH-MN-092-GRC;300;760;1;0;1;2;1;1;1;29;22;41
SInt-AUTH-MN-093-GRC;300;760;1;0;1;3;1;1;#NULL!;39;27;43
SInt-AUTH-MN-095-GRC;300;760;1;1;1;3;2;0;2;33;25;44
SInt-AUTH-MN-095-GRC;300;760;1;1;1;3;1;1;#NULL!;12;25;59
SInt-AUTH-MN-096-GRC;300;760;1;1;1;4;2;0;2;32;22;49
SInt-AUTH-MN-097-GRC;300;760;1;1;1;5;2;0;1;14;25;44
SInt-AUTH-MN-098-GRC;300;760;1;1;1;2;1;1;#NULL!;32;27;49
SInt-AUTH-MN-099-GRC;300;760;1;1;1;4;1;1;2;39;20;39
SInt-AUTH-MN-100-GRC;300;760;1;1;1;3;2;1;2;37;27;45
SInt-AUTH-NM-201-GRC;300;4;1;0;1;3;2;2;2;34;24;50
SInt-AUTH-NM-202-GRC;300;4;1;0;2;3;2;0;1;36;26;52
SInt-AUTH-NM-203-GRC;300;4;2;0;1;3;1;2;4;29;30;36
SInt-AUTH-NM-204-GRC;300;4;1;0;1;3;2;0;1;28;19;45
SInt-AUTH-NM-205-GRC;300;4;1;0;1;3;2;0;1;15;19;44
SInt-AUTH-NM-206-GRC;300;4;1;0;1;3;1;0;98;17;23;56
SInt-AUTH-NM-207-GRC;300;4;1;0;2;2;2;2;1;17;19;50
SInt-AUTH-NM-209-GRC;300;4;2;0;1;3;2;2;1;38;18;29
SInt-AUTH-NM-210-GRC;300;4;2;1;1;2;2;1;1;11;17;40
SInt-AUTH-NM-211-GRC;300;4;2;1;2;1;2;0;98;29;19;39
SInt-AUTH-NM-212-GRC;300;4;1;1;1;4;2;2;1;39;8;37
SInt-AUTH-NM-213-GRC;300;4;1;1;1;2;1;0;4;23;21;49
SInt-AUTH-NM-214-GRC;300;4;1;1;1;1;1;1;2;34;23;30
SInt-AUTH-NM-215-GRC;300;4;1;1;2;3;4;1;1;30;21;40
SInt-AUTH-NM-216-GRC;300;4;1;1;2;3;2;3;1;31;21;39
SInt-AUTH-NM-217-GRC;300;4;1;0;1;2;1;2;1;34;24;55
SInt-AUTH-NM-218-GRC;300;4;1;1;2;3;2;0;1;14;17;32
SInt-AUTH-NM-219-GRC;300;4;1;1;1;1;1;0;3;38;9;16
SInt-AUTH-NM-220-GRC;300;4;1;1;1;5;2;4;98;18;19;58
SInt-AUTH-NM-221-GRC;300;4;1;1;1;4;2;1;#NULL!;31;19;58
SInt-AUTH-NM-222-GRC;300;4;1;0;2;2;4;1;1;31;16;31
SInt-AUTH-NM-223-GRC;300;4;1;0;1;3;1;1;4;43;12;53
SInt-AUTH-NM-224-GRC;300;4;1;1;1;4;2;2;1;40;17;45
SInt-AUTH-NM-225-GRC;300;4;1;1;2;3;2;0;1;14;19;49
SInt-AUTH-NM-226-GRC;300;4;2;1;2;3;5;0;98;13;7;38
SInt-AUTH-NM-227-GRC;300;4;1;1;2;2;1;3;1;38;18;49
SInt-AUTH-NM-228-GRC;300;4;3;1;2;3;5;0;1;31;18;42
SInt-AUTH-NM-229-GRC;300;4;3;1;1;5;2;4;2;16;18;52
SInt-AUTH-NM-230-GRC;300;4;1;0;1;1;1;1;4;18;16;69
SInt-AUTH-NM-231-GRC;300;4;1;0;2;2;5;1;1;34;6;36
SInt-AUTH-NM-231-GRC;300;4;1;1;1;3;2;1;1;14;19;34
SInt-AUTH-NM-233-GRC;300;4;1;0;1;2;1;2;2;32;21;34
SInt-AUTH-NM-234-GRC;300;4;1;1;1;2;1;2;1;44;6;30
SInt-AUTH-NM-235-GRC;300;4;1;0;1;3;2;1;2;50;21;42
SInt-AUTH-NM-236-GRC;300;4;1;1;2;2;2;2;1;13;20;39
SInt-AUTH-NM-237-GRC;300;4;1;0;1;4;2;3;4;45;17;54
SInt-AUTH-NM-238-GRC;300;4;1;0;1;1;1;1;1;45;19;26
SInt-AUTH-NM-239-GRC;300;4;1;1;2;2;2;0;1;34;17;49
SInt-AUTH-NM-240-GRC;300;4;1;1;2;3;2;0;1;10;17;56
SInt-AUTH-NM-241-GRC;300;4;1;1;2;2;2;0;1;16;17;33
SInt-AUTH-NM-242-GRC;300;4;1;1;2;3;2;0;2;36;24;38
SInt-AUTH-NM-243-GRC;300;4;1;1;2;3;2;0;2;34;17;50
SInt-AUTH-NM-244-GRC;300;4;1;0;1;1;1;0;2;42;21;41
SInt-AUTH-NM-245-GRC;300;4;3;1;1;3;2;1;2;32;17;38
SInt-AUTH-NM-246-GRC;300;4;3;0;2;2;4;0;2;20;6;18
SInt-AUTH-NM-247-GRC;300;4;2;0;2;3;2;4;2;31;19;38
SInt-AUTH-NM-248-GRC;300;4;2;0;2;4;2;4;1;47;19;38
SInt-AUTH-NM-249-GRC;300;4;1;0;2;2;3;3;2;42;19;27
SInt-AUTH-NM-250-GRC;300;4;1;0;1;6;5;4;1;23;18;33
SInt-AUTH-NM-251-GRC;300;4;1;1;1;4;2;4;1;17;19;39
SInt-AUTH-NM-252-GRC;300;4;1;1;2;4;2;0;98;41;19;37
SInt-AUTH-NM-253-GRC;300;4;2;0;2;2;4;0;1;24;24;45
SInt-AUTH-NM-254-GRC;300;4;1;0;2;3;2;1;2;13;18;40
SInt-AUTH-NM-255-GRC;300;4;1;0;1;4;2;2;2;36;17;44
SInt-AUTH-NM-256-GRC;300;4;1;0;1;3;2;2;2;31;16;40
SInt-AUTH-NM-257-GRC;300;4;1;1;1;2;2;4;1;49;17;51
SInt-AUTH-NM-258-GRC;300;4;1;0;1;3;2;1;#NULL!;49;19;54
SInt-AUTH-NM-259-GRC;300;4;1;0;2;3;2;2;2;40;18;31
SInt-AUTH-NM-260-GRC;300;4;1;0;1;2;1;1;2;35;15;32
SInt-AUTH-NM-261-GRC;300;4;1;0;1;4;2;4;1;30;17;43
SInt-AUTH-NM-262-GRC;300;4;1;0;1;1;1;1;1;41;18;45
SInt-AUTH-NM-263-GRC;300;4;2;0;2;3;2;1;1;21;17;46
SInt-AUTH-NM-264-GRC;300;4;2;1;1;4;2;4;1;40;16;53
SInt-AUTH-NM-265-GRC;300;4;3;1;2;3;2;0;1;35;17;54
SInt-AUTH-NM-266-GRC;300;4;3;1;1;4;2;4;1;34;20;58
SInt-AUTH-NM-267-GRC;300;4;3;1;2;3;2;0;1;15;16;54
SInt-AUTH-NM-268-GRC;300;4;3;1;1;3;2;1;1;17;19;51
SInt-AUTH-NM-269-GRC;300;999;1;1;1;2;2;1;1;43;16;39
SInt-AUTH-NM-270-GRC;300;4;1;1;2;1;1;1;2;40;17;36
SInt-AUTH-NM-271-GRC;300;4;1;0;1;2;1;1;2;39;17;28
SInt-AUTH-NM-272-GRC;300;4;2;1;2;3;2;1;1;38;6;35
SInt-AUTH-NM-273-GRC;300;4;1;0;2;2;2;0;1;12;16;57
SInt-AUTH-NM-274-GRC;300;4;1;0;2;3;2;0;1;15;18;57
SInt-AUTH-NM-275-GRC;300;4;1;0;1;1;1;1;4;24;16;75
SInt-AUTH-NM-276-GRC;300;4;1;0;2;3;2;1;2;36;15;49
SInt-AUTH-NM-277-GRC;300;4;1;1;1;3;2;1;1;38;16;54
SInt-AUTH-NM-278-GRC;300;4;1;1;1;2;2;2;1;43;19;54
SInt-AUTH-NM-279-GRC;300;4;1;1;2;3;5;0;1;34;16;62
SInt-AUTH-NM-280-GRC;300;4;1;1;2;2;4;0;2;38;18;62
SInt-AUTH-NM-281-GRC;300;4;1;1;1;5;5;4;1;21;18;54
SInt-AUTH-NM-282-GRC;300;4;1;0;2;3;2;1;1;27;18;49
SInt-AUTH-NM-283-GRC;300;4;1;1;2;1;1;3;1;42;17;37
SInt-AUTH-NM-284-GRC;300;4;1;1;1;1;1;0;4;41;18;55
SInt-AUTH-NM-285-GRC;300;4;1;1;2;3;2;1;1;34;15;55
SInt-AUTH-NM-286-GRC;300;4;1;0;2;2;2;1;1;30;18;39
SInt-AUTH-NM-287-GRC;300;4;1;1;1;4;2;4;1;17;15;49
SInt-AUTH-NM-288-GRC;300;4;1;0;1;3;2;2;1;53;18;43
SInt-AUTH-NM-289-GRC;300;4;1;1;2;1;2;2;2;16;19;54
SInt-AUTH-NM-290-GRC;300;4;1;0;1;1;1;1;1;43;23;33
SInt-AUTH-NM-291-GRC;300;4;1;0;1;2;2;1;4;29;16;61
