submission;studyCountry;originCountry;siteType;IDPCamp;gender;age;maritalStatus;education;protectionStatus;Connectivity;Mobility;Marginalisation
SInt-AAU-Awe-008-ET;231;232;3;1;2;2;2;1;2;4;18;23
SInt-AAU-Awe-008-ET;231;232;3;1;1;2;1;1;2;5;10;35
SInt-AAU-Awe-009-ET;231;232;3;1;1;2;1;0;2;20;10;32
SInt-AAU-Awe-009-ET;231;232;3;1;1;2;1;1;2;4;10;28
SInt-AAU-Awe-009-ET;231;232;3;1;1;2;1;1;2;5;16;32
SInt-AAU-Awe-010-ET;231;232;3;1;1;4;2;1;2;4;14;31
SInt-AAU-Awe-011-ET;231;232;3;1;2;3;4;1;2;11;12;29
SInt-AAU-Awe-011-ET;231;232;3;1;1;3;2;3;2;10;20;26
SInt-AAU-Awe-012-ET;231;232;3;1;1;4;2;1;2;10;10;28
SInt-AAU-Awe-012-ET;231;232;3;1;1;4;2;1;2;5;12;32
SInt-AAU-Awe-013-ET;231;232;3;1;2;2;2;1;2;4;20;34
SInt-AAU-Awe-013-ET;231;232;3;1;1;1;1;1;2;10;12;27
SInt-AAU-Awe-014-ET;231;232;3;1;1;4;2;1;2;8;10;36
SInt-AAU-Awe-014-ET;231;232;3;1;1;2;1;1;2;5;14;35
SInt-AAU-Awe-015-ET;231;232;3;1;2;4;2;0;2;20;14;32
SInt-AAU-Awe-015-ET;231;232;3;1;1;2;1;1;2;10;12;33
SInt-AAU-Awe-016-ET;231;232;3;1;1;2;2;1;2;14;12;30
SInt-AAU-Awe-016-ET;231;232;3;1;1;2;1;1;2;11;14;26
SInt-AAU-Awe-017-ET;231;232;3;1;1;3;2;0;2;11;14;34
SInt-AAU-Awe-017-ET;231;232;3;1;1;3;2;1;2;13;10;35
SInt-AAU-Awe-018-ET;231;232;3;1;1;3;2;1;2;6;12;24
SInt-AAU-Awe-019-ET;231;232;3;1;2;2;1;1;2;31;12;33
SInt-AAU-Awe-019-ET;231;232;3;1;1;4;2;1;2;16;5;29
SInt-AAU-Awe-020-ET;231;232;3;1;2;4;2;1;2;41;14;31
SInt-AAU-Awe-021-ET;231;232;3;1;2;4;2;0;2;5;16;35
SInt-AAU-Awe-021-ET;231;232;3;1;1;4;2;1;2;7;12;19
SInt-AAU-Awe-021-ET;231;999;3;1;1;2;2;1;2;10;5;37
SInt-AAU-Awe-022-ET;231;232;3;1;2;3;2;0;2;2;21;22
SInt-AAU-Awe-022-ET;231;232;3;1;1;2;2;1;2;10;9;37
SInt-AAU-Awe-023-ET;231;232;3;1;2;2;2;1;2;13;12;30
SInt-AAU-Awe-023-ET;231;232;3;1;1;2;1;2;2;12;5;29
SInt-AAU-Awe-024-ET;231;232;3;1;2;2;1;1;2;10;5;30
SInt-AAU-Awe-025-ET;231;232;3;1;2;4;2;1;2;5;10;27
SInt-AAU-Awe-025-ET;231;232;3;1;1;2;1;2;2;11;10;29
SInt-AAU-Awe-026-ET;231;232;3;1;1;3;2;1;2;10;5;32
SInt-AAU-Awe-026-ET;231;232;3;1;2;2;4;2;2;7;10;27
SInt-AAU-Awe-026-ET;231;232;3;0;1;4;1;2;2;10;5;30
SInt-AAU-Awe-027-ET;231;232;3;1;2;2;2;0;2;11;5;32
SInt-AAU-Awe-027-ET;231;232;3;1;2;2;4;1;2;5;10;23
